X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
-7911026.63689562,5208425.09782009,N_601230550253965256,Strand Theatre - Internal,Q2KD-4CVV-PPU5,Strand_Orchestra lobby_AP3,"543 Columbia Rd, Boston, MA 02125",42.315948335,-71.0659614099999,['Inside'],2024/08/20 04:31:49+00,1,,,Inside,,139
-7911026.63689562,5208425.09782009,N_601230550253965256,Strand Theatre - Internal,Q2KD-T5KV-QQRN,Strand_Stage Right ,"543 Columbia Rd, Boston, MA 02125",42.315948335,-71.0659614099999,['Inside'],2024/08/20 04:31:49+00,1,,,Inside,,140
-7911026.63689562,5208425.09782009,N_601230550253965256,Strand Theatre - Internal,Q2KD-4MAV-QUR8,Strand_Camera room office right,"543 Columbia Rd, Boston, MA 02125",42.315948335,-71.0659614099999,['Inside'],2024/08/20 04:31:49+00,1,,,Inside,,141
-7911026.63689562,5208425.09782009,N_601230550253965256,Strand Theatre - Internal,Q2KD-6H83-WZ3E,Strand_Box Office ceiling,"543 Columbia Rd, Boston, MA 02125",42.315948335,-71.0659614099999,['Inside'],2024/08/20 04:31:49+00,1,,,Inside,,142
-7912918.67784166,5210704.32054461,N_601230550253966449,OPAT,Q3AC-GXG6-6WZR,OPAT-AP1,2201 Washington St Roxbury MA 02118,42.331086333,-71.082957903,[],2024/08/20 04:31:49+00,1,,,,,143
-7904348.42368246,5218988.95300298,N_601230550253966604,East Boston Senior Center,Q3AB-3QKN-ZC2L,EBSC-AP-2,"18 Barnes Avenue, East Boston, MA 02128",42.38608,-71.00597,"['Inside', 'employee']",2024/08/20 04:31:50+00,1,,,Inside,employee,144
-7904348.42368246,5218988.95300298,N_601230550253966604,East Boston Senior Center,Q3AB-384Z-M6EA,EBSC-AP-4,"18 Barnes Avenue, East Boston, MA 02128",42.38608,-71.00597,"['Inside', 'employee']",2024/08/20 04:31:50+00,1,,,Inside,employee,145
,,L_601230550253964019,City Hall Truck,Q3AU-KME9-S2T6,CoB-Mobile-Truck_MR-78,,,,[],2024/08/20 04:31:37+00,1,,,,,146
-7907045.68603882,5210858.81775077,N_568579452955537848,South Boston,Q2CK-L6R4-HJGB,SB-PERRY-AP1,"745 E 7th St, South Boston, MA 02127",42.3321123310001,-71.03019992,['recently-added'],2024/08/20 04:31:40+00,1,,,,,147
-7908680.74616299,5210971.30436346,N_568579452955537848,South Boston,Q2CK-LEG8-FAFN,SB-HIGHSCHOOL-AP2,"95 G St., South Boston, MA",42.3328593310001,-71.0448879149999,['recently-added'],2024/08/20 04:31:40+00,1,,,,,148
-7908689.70199669,5210969.59600664,N_568579452955537848,South Boston,Q2CK-LQCX-HR7J,SB-HIGHSCHOOL-AP1,95 G Street,42.3328479862272,-71.0449683666229,['recently-added'],2024/08/20 04:31:40+00,1,,,,,149
-7919879.70579091,5213413.81305402,N_568579452955538703,Alston Brighton,Q2CK-SA2P-MX2R,AB-BRIGHTON-HIGH-AP3,"25 Warren St, Brighton, MA 02135",42.349077331,-71.1454898809999,"['BCYF-Grant', 'BPS', 'Brighton-High-School', 'Outside']",2024/08/20 04:31:41+00,1,BPS,,Outside,Brighton High School,150
